code,initiative,horizon
1a,"Industry-specific packages & pitchbooks",short
1b,"Renegotiate margin-dilutive contracts",short
1c,"Raise monthly fees on existing customers & restructure new-customer contracts",short
1d,"Discover high-CLTV, high-value white space opportunities across captive & non-captive market",mid
1e,"Set up a customer-centric product innovation & lifecycle management workflow",mid
1f,"Bundle cyber security-adjacent services",mid
1g,"Scale standardized, low-cost, self-install products",mid
1h,"Develop advanced tech-driven offerings",mid
2a,"Define customer tiers with standard management playbooks by value",short
2b,"Systemize proactive customer management",mid
2c,"Effective customer management by CM team",short
3a,"Industry-specialized sales teams",short
3b,"Penetration target-setting & execution",short
3c,"Redesign sales incentives around CLTV",short
3d,"Transition of in-house sales reps to agency channel",short
3e,"Scale online sales channel",mid
3f,"Widen sales-coverage areas by easing geofence limits",short
4a,"Apply AI to detect and reduce false alarms",short
4b,"Adopt automation and AI tools to streamline back-office",short
4c,"Build SCM IT systems to optimize supply chain and logistics",short
4d,"Improve ERP system to support the new GTM strategy",mid
4e,"Automate monitoring-center video surveillance",mid
4f,"Revamp the security platform (IoT platform, Argos)",long
4g,"Develop next-generation security technologies",long
5a,"Construct CLTV single source of truth & decision-making rules",short
5b,"Build digital sales tools (Vision360)",short
5c,"Optimize field operations (BP/TSE) using data",short
5d,"Establish a holistic Business Intelligence system",mid
5e,"Revamp C360 to analyze customers, predict churn, target retention/upselling",long
5f,"Set up a data governance process",long
6a,"Orchestrate ERP and agency transition plan",short
6b,"Redefine R&R and evaluation scheme of field operations (BP/TSE)",short
6c,"Establish a centralized logistics center",short
6d,"Streamline back-office function",short
6e,"Conduct organizational diagnostics",mid
6f,"Establish culture & engagement baseline",mid
6g,"Reshape workforce operating model",mid
6h,"Redesign performance management & pay-for-performance",mid
6i,"Win, build & upskill talent – 4B talent & Leadership",mid
